#,d2f/dtheta2,df/dtheta,f(xyz),plane,theta,variable,x,y,z
8,0.2559278013300907,5.1766840518611924e-18,0.004016907601784816,(010) plane,-0.02210636766982188,INS: Volume,1.5517771784699668,0.0,1.4586184174022143
9,-0.019016946772044848,3.451122701240795e-18,0.0057579668126768535,(010) plane,0.6042268606967645,INS: Volume,0.002779774483886794,0.0,2.11784600335844
10,0.009788867692804277,0.0,0.004075027372019698,(010) plane,1.284958912260237,INS: Volume,-1.4493638512871023,0.0,1.5430555254381118
11,-0.011033149720766258,0.0,0.005739565613298014,(010) plane,2.1440240652526508,INS: Volume,-2.117196083220761,0.0,-0.004663851938230032
12,0.016031752967742417,-1.380449080496318e-17,0.004072309396623276,(010) plane,2.911442936833247,INS: Volume,-1.537017385044615,0.0,-1.4558948872177155
13,-0.006755189879287489,6.90224540248159e-18,0.004075143719794707,(010) plane,2.9459790474297667,INS: Volume,-1.503720646917351,0.0,-1.490567176128419
14,0.016499175314695688,-3.451122701240795e-18,0.004068075054714676,(010) plane,3.000289828096091,INS: Volume,-1.449382703688799,0.0,-1.543255835477948
1,-0.011070359525768014,0.0,0.005754135728752058,(010) plane,-2.4577824958190937,INS: Volume,-0.003980458418410623,0.0,-2.117178661969818
2,0.021325826005620926,0.0,0.004077186693357305,(010) plane,-1.7466204396652656,INS: Volume,1.4314955887283367,0.0,-1.5594744547471235
3,-0.012611463964975615,0.0,0.004087268406228532,(010) plane,-1.6961792806251537,INS: Volume,1.497392806414997,0.0,-1.4969516664244478
4,0.024281096339816365,0.0,0.0040779806969693504,(010) plane,-1.6488726731915118,INS: Volume,1.5244743196582953,0.0,-1.4699578348325306
5,-0.011819185889603751,-1.380449080496318e-17,0.005738022578460443,(010) plane,-0.8531960876264831,INS: Volume,2.1168475039596135,0.0,0.001314021712885112
6,0.028025667495050168,1.380449080496318e-17,0.004077702855318549,(010) plane,-0.11557132216316889,INS: Volume,1.546041443474602,0.0,1.4442954574998295
7,-0.04743106083500151,-1.7255613506203975e-18,0.00408783916374655,(010) plane,-0.08164830359017004,INS: Volume,1.4953101324424756,0.0,1.4945128080818328
8,0.2559278013300907,5.1766840518611924e-18,0.004016907601784816,(010) plane,-0.02210636766982188,INS: Volume,1.5517771784699668,0.0,1.4586184174022143
9,-0.019016946772044848,3.451122701240795e-18,0.0057579668126768535,(010) plane,0.6042268606967645,INS: Volume,0.002779774483886794,0.0,2.11784600335844
10,0.009788867692804277,0.0,0.004075027372019698,(010) plane,1.284958912260237,INS: Volume,-1.4493638512871023,0.0,1.5430555254381118
11,-0.011033149720766258,0.0,0.005739565613298014,(010) plane,2.1440240652526508,INS: Volume,-2.117196083220761,0.0,-0.004663851938230032
12,0.016031752967742417,-1.380449080496318e-17,0.004072309396623276,(010) plane,2.911442936833247,INS: Volume,-1.537017385044615,0.0,-1.4558948872177155
13,-0.006755189879287489,6.90224540248159e-18,0.004075143719794707,(010) plane,2.9459790474297667,INS: Volume,-1.503720646917351,0.0,-1.490567176128419
14,0.016499175314695688,-3.451122701240795e-18,0.004068075054714676,(010) plane,3.000289828096091,INS: Volume,-1.449382703688799,0.0,-1.543255835477948
1,-0.011070359525768014,0.0,0.005754135728752058,(010) plane,-2.4577824958190937,INS: Volume,-0.003980458418410623,0.0,-2.117178661969818
2,0.021325826005620926,0.0,0.004077186693357305,(010) plane,-1.7466204396652656,INS: Volume,1.4314955887283367,0.0,-1.5594744547471235
3,-0.012611463964975615,0.0,0.004087268406228532,(010) plane,-1.6961792806251537,INS: Volume,1.497392806414997,0.0,-1.4969516664244478
4,0.024281096339816365,0.0,0.0040779806969693504,(010) plane,-1.6488726731915118,INS: Volume,1.5244743196582953,0.0,-1.4699578348325306
